DictWordID,PojUnicode,PojInput,KipUnicode,KipInput,HanLoTaibunPoj,HanLoTaibunKip,HoaBun,DataProvidedBy,PojNormalized,KipNormalized
2171,ē-chái,e7-chai2,ē-tsái,e7-tsai2,下早,下早,早上,Chenwujack Chen,e-chai,e-tsai
2172,mńg-po͘/múi-po͘,mng2-poo/mui2-poo,mńg-poo/muí-poo,mng2-poo/mui2-poo,晚晡,晚晡,下午,Chenwujack Chen,mng-po/mui-po,mng-poo/mui-poo
2173,bóe-àm-má,boe2-am3-ma2,bué-àm-má,bue2-am3-ma2,尾暗矣,尾暗矣,黃昏,Chenwujack Chen,boe-am-ma,bue-am-ma
2174,saⁿ-á-saⁿ-cha̍p-it,sann-a2-sann-chap8-it,sann-á-sann-tsa̍p-it,sann-a2-sann-tsap8-it,三仔三十一,三仔三十一,分贓,Chenwujack Chen,sa-a-sa-chap-it,sann-a-sann-tsap-it
2175,Sng-á-ki,Sng-a2-ki,Sng-á-ki,Sng-a2-ki,霜仔枝,霜仔枝,霜,邱峻翔,Sng-a-ki,Sng-a-ki
2176,hō͘-siong tàu-saⁿ-kāng,hoo7-siong tau3-sann-kang7,hōo-siong tàu-sann-kāng,hoo7-siong tau3-sann-kang7,互相門相共,互相門相共,互相幫忙,匿名,ho-siong tau-sa-kang,hoo-siong tau-sann-kang
2177,pe̍h-ba̍k-hún,peh8-bak8-hun2,pe̍h-ba̍k-hún,peh8-bak8-hun2,白墨粉,白墨粉,粉筆,Chenwujack Chen,peh-bak-hun,peh-bak-hun
2178,chi̍t-kū kóng tō bē-hiáu ōe,chit8-ku7 kong2 to7 be7-hiau2 oe7,tsi̍t-kū kóng tō bē-hiáu uē,tsit8-ku7 kong2 to7 be7-hiau2 ue7,一句講就袂曉話,一句講就袂曉話,一句話也不會講,Chenwujack Chen,chit-ku kong to be-hiau oe,tsit-ku kong to be-hiau ue
2179,it pún bān lī,it pun2 ban7 li7,it pún bān lī,it pun2 ban7 li7,一本萬利,一本萬利,一本萬利,Chenwujack Chen,it pun ban li,it pun ban li
2180,"thâi-káu mā chit su,chò-chiò mā chit su","thai5-kau2 ma7 chit su,cho3-chio3 ma7 chit su","thâi-káu mā tsit su,tsò-tsiò mā tsit su","thai5-kau2 ma7 tsit su,tso3-tsio3 ma7 tsit su",刣狗嘛這軀.做醮嘛這軀,刣狗嘛這軀.做醮嘛這軀,一百零一件衣服,Chenwujack Chen,"thai-kau ma chit su,cho-chio ma chit su","thai-kau ma tsit su,tso-tsio ma tsit su"
2181,總講一句,總講一句,總講一句,總講一句,一言以蔽之,一言以蔽之,Chenwujack Chen,Chenwujack Chen,總講一句,總講一句
2182,"一言既出,駟馬難追","一言既出,駟馬難追","一言既出,駟馬難追","一言既出,駟馬難追",一言既出，駟馬難追,一言既出，駟馬難追,Chenwujack Chen,Chenwujack Chen,"一言既出,駟馬難追","一言既出,駟馬難追"
2183,"話講會得出,收袂得入","話講會得出,收袂得入","話講會得出,收袂得入","話講會得出,收袂得入",一言既出，駟馬難追,一言既出，駟馬難追,Chenwujack Chen,Chenwujack Chen,"話講會得出,收袂得入","話講會得出,收袂得入"
2184,一身頂下,一身頂下,一身頂下,一身頂下,一身上下,一身上下,Chenwujack Chen,Chenwujack Chen,一身頂下,一身頂下
2185,一身頭尾,一身頭尾,一身頭尾,一身頭尾,一身上下,一身上下,Chenwujack Chen,Chenwujack Chen,一身頭尾,一身頭尾
2186,"獅刀魚無腸無肚,全食一把膽","獅刀魚無腸無肚,全食一把膽","獅刀魚無腸無肚,全食一把膽","獅刀魚無腸無肚,全食一把膽",一身是膽,一身是膽,Chenwujack Chen,Chenwujack Chen,"獅刀魚無腸無肚,全食一把膽","獅刀魚無腸無肚,全食一把膽"
2187,跤焦手焦,跤焦手焦,跤焦手焦,跤焦手焦,一身輕,一身輕,Chenwujack Chen,Chenwujack Chen,跤焦手焦,跤焦手焦
2188,跤鬆手弄,跤鬆手弄,跤鬆手弄,跤鬆手弄,一身輕,一身輕,Chenwujack Chen,Chenwujack Chen,跤鬆手弄,跤鬆手弄
2189,十做九不成,十做九不成,十做九不成,十做九不成,一事無成,一事無成,Chenwujack Chen,Chenwujack Chen,十做九不成,十做九不成
2190,呵咾唯是,呵咾唯是,呵咾唯是,呵咾唯是,一味稱讚,一味稱讚,Chenwujack Chen,Chenwujack Chen,呵咾唯是,呵咾唯是
2191,Jī-lîm,Ji7-lim5,Jī-lîm,Ji7-lim5,二林,二林,二林,陳季郎,Ji-lim,Ji-lim
2192,"it-giân kì chhut,sù má lân tui","it-gian5 ki3 chhut,su3 ma2 lan5 tui","it-giân kì tshut,sù má lân tui","it-gian5 ki3 tshut,su3 ma2 lan5 tui","一言既出,駟馬難追","一言既出,駟馬難追",一言既出，駟馬難追,匿名,"it-gian ki chhut,su ma lan tui","it-gian ki tshut,su ma lan tui"
2193,"ōe kóng ē-tit chhut,siu bē-tit ji̍p","oe7 kong2 e7-tit chhut,siu be7-tit jip8","uē kóng ē-tit tshut,siu bē-tit ji̍p","ue7 kong2 e7-tit tshut,siu be7-tit jip8","話講會得出,收袂得入","話講會得出,收袂得入",一言既出，駟馬難追,匿名,"oe kong e-tit chhut,siu be-tit jip","ue kong e-tit tshut,siu be-tit jip"
2194,chi̍t-sin thâu-bóe,chit8-sin thau5-boe2,tsi̍t-sin thâu-bué,tsit8-sin thau5-bue2,一身頭尾,一身頭尾,一身上下,匿名,chit-sin thau-boe,tsit-sin thau-bue
2195,"sai-to-hî bô tn̂g bô tō͘,choân chia̍h chi̍t-pé táⁿ","sai-to-hi5 bo5 tng5 bo5 too7,choan5 chiah8 chit8-pe2 tann2","sai-to-hî bô tn̂g bô tōo,tsuân tsia̍h tsi̍t-pé tánn","sai-to-hi5 bo5 tng5 bo5 too7,tsuan5 tsiah8 tsit8-pe2 tann2","獅刀魚無腸無肚,全食一把膽","獅刀魚無腸無肚,全食一把膽",一身是膽,匿名,"sai-to-hi bo tn̂g bo to,choan chiah chit-pe ta","sai-to-hi bo tn̂g bo too,tsuan tsiah tsit-pe tann"
2196,kha ta chhiú ta,kha ta chhiu2 ta,kha ta tshiú ta,kha ta tshiu2 ta,跤焦手焦,跤焦手焦,一身輕,匿名,kha ta chhiu ta,kha ta tshiu ta
2197,cha̍p chò káu put-sêng,chap8 cho3 kau2 put-seng5,tsa̍p tsò káu put-sîng,tsap8 tso3 kau2 put-sing5,十做九不成,十做九不成,一事無成,匿名,chap cho kau put-seng,tsap tso kau put-sing
2198,"chi̍t-siaⁿ m̄-chai,pah-hāng bô-tāi","chit8-siann m7-chai,pah-hang7 bo5-tai7","tsi̍t-siann m̄-tsai,pah-hāng bô-tāi","tsit8-siann m7-tsai,pah-hang7 bo5-tai7","一聲毋知,百項無代","一聲毋知,百項無代",一推二五六,Chenwujack Chen,"chit-sia m̄-chai,pah-hang bo-tai","tsit-siann m̄-tsai,pah-hang bo-tai"
2199,"it lí thong,bān lí thiat","it li2 thong,ban7 li2 thiat","it lí thong,bān lí thiat","it li2 thong,ban7 li2 thiat","一理通,萬理徹","一理通,萬理徹",一通百通,Chenwujack Chen,"it li thong,ban li thiat","it li thong,ban li thiat"
2200,sio-kāng,sio-kang7,sio-kāng,sio-kang7,相仝,相仝,一樣,Chenwujack Chen,sio-kang,sio-kang
2201,jī it thiam chò ngó͘,ji7 it thiam cho3 ngoo2,jī it thiam tsò ngóo,ji7 it thiam tso3 ngoo2,二一添作五,二一添作五,二一添作五,Chenwujack Chen,ji it thiam cho ngo,ji it thiam tso ngoo
2202,jîn-seng-jû-hì,jin5-seng-ju5-hi3,jîn-sing-jû-hì,jin5-sing-ju5-hi3,人生如戲,人生如戲,人生如戲,Chenwujack Chen,jin-seng-ju-hi,jin-sing-ju-hi
2203,tio̍h,tioh8,tio̍h,tioh8,著,著,得到,匿名,tioh,tioh
2204,āu-tāi,au7-tai7,āu-tāi,au7-tai7,後代,後代,後裔,Rafael Shao,au-tai,au-tai
2205,ge̍k-koaiⁿ,gek8-koainn,gi̍k-kuainn,gik8-kuainn,逆乖,逆乖,刁鑽古怪,Chenwujack Chen,gek-koai,gik-kuainn
2206,ge̍k lān koai,gek8 lan7 koai,gi̍k lān kuai,gik8 lan7 kuai,逆𡳞乖,逆𡳞乖,刁鑽古怪,Chenwujack Chen,gek lan koai,gik lan kuai
2207,saⁿ chhit jī-cha̍p it,sann chhit ji7-chap8 it,sann tshit jī-tsa̍p it,sann tshit ji7-tsap8 it,三七二十一,三七二十一,三七二十一,Chenwujack Chen,sa chhit ji-chap it,sann tshit ji-tsap it
2208,tang-sai jia̍p chhit peh,tang-sai jiap8 chhit peh,tang-sai jia̍p tshit peh,tang-sai jiap8 tshit peh,東西廿七八,東西廿七八,三七二十一,Chenwujack Chen,tang-sai jiap chhit peh,tang-sai jiap tshit peh
2209,sam chhiáⁿ sì ko͘-chiâⁿ,sam chhiann2 si3 koo-chiann5,sam tshiánn sì koo-tsiânn,sam tshiann2 si3 koo-tsiann5,三請四姑情,三請四姑情,三顧茅蘆,Chenwujack Chen,sam chhia si ko-chia,sam tshiann si koo-tsiann
2210,chhùi-ta âu-khoah,chhui3-ta au5-khoah,tshuì-ta âu-khuah,tshui3-ta au5-khuah,喙焦喉渴,喙焦喉渴,口乾舌燥,Chenwujack Chen,chhui-ta au-khoah,tshui-ta au-khuah
2211,kháu lêng sia̍t piān,khau2 leng5 siat8 pian7,kháu lîng sia̍t piān,khau2 ling5 siat8 pian7,口靈舌辯,口靈舌辯,口齒便給,Chenwujack Chen,khau leng siat pian,khau ling siat pian
2212,kháu-chi̍h lī-piān,khau2-chih8 li7-pian7,kháu-tsi̍h lī-piān,khau2-tsih8 li7-pian7,口舌利便,口舌利便,口齒便給,Chenwujack Chen,khau-chih li-pian,khau-tsih li-pian
2213,炸豬頭皮,炸豬頭皮,炸豬頭皮,炸豬頭皮,chòaⁿ ti-thâu-phôe,tsuànn ti-thâu-phuê,炸豬頭皮,Chenwujack Chen,炸豬頭皮,炸豬頭皮
2214,青謗白謗,青謗白謗,青謗白謗,青謗白謗,chheⁿ pòng pe̍h pòng,tshenn pòng pe̍h pòng,青謗白謗,Chenwujack Chen,青謗白謗,青謗白謗
2215,畫虎𡳞,畫虎𡳞,畫虎𡳞,畫虎𡳞,ōe-hó͘-lān,uē-hóo-lān,畫虎𡳞,Chenwujack Chen,畫虎𡳞,畫虎𡳞
2216,誻誻叫,誻誻叫,誻誻叫,誻誻叫,ta-ta-kiò,ta-ta-kiò,誻誻叫,Chenwujack Chen,誻誻叫,誻誻叫
2217,gia̍h thûi gia̍h kùn,giah8 thui5 giah8 kun3,gia̍h thuî gia̍h kùn,giah8 thui5 giah8 kun3,攑槌攑棍,攑槌攑棍,大動干戈,Chenwujack Chen,giah thui giah kun,giah thui giah kun
2218,sán-lim,san2-lim,sán-lim,san2-lim,瘦啉,瘦啉,小酌,Chenwujack Chen,san-lim,san-lim
2219,sin-pū-á thè,sin-pu7-a2 the3,sin-pū-á the3,sin-pu7-a2 the3,新婦仔體,新婦仔體,小媳婦模樣,Chenwujack Chen,sin-pu-a the,sin-pu-a the3
2220,châi so͘ ha̍k chhián,chai5 soo hak8 chhian2,tsâi soo ha̍k tshián,tsai5 soo hak8 tshian2,才疏學淺,才疏學淺,才疏學淺,Chenwujack Chen,chai so hak chhian,tsai soo hak tshian
2221,khè kam-chià,khe3 kam-chia3,khè kam-tsià,khe3 kam-tsia3,甘蔗汁,甘蔗汁,甘蔗汁,匿名,khe kam-chia,khe kam-tsia
2222,chu-chìn-tóng,chu-chin3-tong2,tsu-tsìn-tóng,tsu-tsin3-tong2,資進黨,資進黨,資進黨,匿名,chu-chin-tong,tsu-tsin-tong
2223,iô-kho͘-á,io5-khoo-a2,iô-khoo-á,io5-khoo-a2,搖箍仔,搖箍仔,呼拉圈,匿名,io-kho-a,io-khoo-a
2224,Kang -chí -soan,Kang -chi2 -soan,Kang -tsí -suan,Kang -tsi2 -suan,江芷萱,江芷萱,江芷萱,Chenwujack Chen,Kang -chi -soan,Kang -tsi -suan
2225,m̄ chai hîm ia̍h hó͘,m7 chai him5 iah8 hoo2,m̄ tsai hîm ia̍h hóo,m7 tsai him5 iah8 hoo2,毋知熊抑虎,毋知熊抑虎,不知何方神聖,Chenwujack Chen,m̄ chai him iah ho,m̄ tsai him iah hoo
2226,pòaⁿ-am-sī-nn̄g,poann3-am-si7-nng7,puànn-am-sī-nn̄g,puann3-am-si7-nng7,半掩是兩,半掩是兩,中途而廢,Chenwujack Chen,poa-am-si-nn̄g,puann-am-si-nn̄g
2227,lâng ū lâng chêng-lí   chha̍t  ū chha̍t chêng-lí,lang5 u7 lang5 cheng5-li2   chhat8  u7 chhat8 cheng5-li2,lâng ū lâng tsîng-lí   tsha̍t  ū tsha̍t tsîng-lí,lang5 u7 lang5 tsing5-li2   tshat8  u7 tshat8 tsing5-li2,人有人情理  賊有賊情理,人有人情理  賊有賊情理,公說公有理  婆說婆有理,Chenwujack Chen,lang u lang cheng-li   chhat  u chhat cheng-li,lang u lang tsing-li   tshat  u tshat tsing-li
2228,chhian tú chhian  siàⁿ tú siàⁿ,chhian tu2 chhian  siann3 tu2 siann3,tshian tú tshian  siànn tú siànn,tshian tu2 tshian  siann3 tu2 siann3,千拄千  聖拄聖,千拄千  聖拄聖,分毫不差,Chenwujack Chen,chhian tu chhian  sia tu sia,tshian tu tshian  siann tu siann
2229,ku chò ku thó-chia̍h  hāu chò hāu peh-piah,ku cho3 ku tho2-chiah8  hau7 cho3 hau7 peh-piah,ku tsò ku thó-tsia̍h  hāu tsò hāu peh-piah,ku tso3 ku tho2-tsiah8  hau7 tso3 hau7 peh-piah,龜做龜討食  鱟做鱟𬦰壁,龜做龜討食  鱟做鱟𬦰壁,分道揚鑣,Chenwujack Chen,ku cho ku tho-chiah  hau cho hau peh-piah,ku tso ku tho-tsiah  hau tso hau peh-piah
2230,chhap-chhùi,chhap-chhui3,tshap-tshuì,tshap-tshui3,插喙,插喙,打岔,匿名,chhap-chhui,tshap-tshui
2231,goán-tau/gún-tau,goan2-tau/gun2-tau,guán-tau/gún-tau,guan2-tau/gun2-tau,阮兜,阮兜,我們家,匿名,goan-tau/gun-tau,guan-tau/gun-tau
2232,phōaⁿ-lī/phōaⁿ-lū,phoann7-li7/phoann7-lu7,phuānn-lī/phuānn-lū,phuann7-li7/phuann7-lu7,伴侶,伴侶,伴侶,Chan Win,phoa-li/phoa-lu,phuann-li/phuann-lu
2233,khí-soān,khi2-soan7,khí-suān,khi2-suan7,起訕,起訕,開罵,Herman  Chen,khi-soan,khi-suan
2234,sim-pau-mo̍͘h hoat-iām,sim-pau-mooh8 hoat-iam7,sim-pau-mo̍oh huat-iām,sim-pau-mooh8 huat-iam7,心胞膜發炎,心胞膜發炎,心內膜炎,匿名,sim-pau-moh hoat-iam,sim-pau-mooh huat-iam
2235,sim-koaⁿ-thâu pàng-gōa-gōa,sim-koann-thau5 pang3-goa7-goa7,sim-kuann-thâu pàng-guā-guā,sim-kuann-thau5 pang3-gua7-gua7,心肝頭放外外,心肝頭放外外,心不在焉,匿名,sim-koa-thau pang-goa-goa,sim-kuann-thau pang-gua-gua
2236,kah-ì ê lâng,kah-i3 e5 lang5,kah-ì ê lâng,kah-i3 e5 lang5,佮意的人,佮意的人,心上人,匿名,kah-i e lang,kah-i e lang
2237,chéng-thâu-á-kan-lo̍k,cheng2-thau5-a2-kan-lok8,tsíng-thâu-á-kan-lo̍k,tsing2-thau5-a2-kan-lok8,指頭仔干樂,指頭仔干樂,指尖陀螺,匿名,cheng-thau-a-kan-lok,tsing-thau-a-kan-lok
2238,thau-lia̍h-ke/thau-lia̍h-koe,thau-liah8-ke/thau-liah8-koe,thau-lia̍h-ke/thau-lia̍h-kue,thau-liah8-ke/thau-liah8-kue,偷掠雞,偷掠雞,越位,匿名,thau-liah-ke/thau-liah-koe,thau-liah-ke/thau-liah-kue
2239,kut-keh-ki,kut-keh-ki,kut-keh-ki,kut-keh-ki,骨骼肌,骨骼肌,骨骼肌,匿名,kut-keh-ki,kut-keh-ki
2240,pak-lāi-ki,pak-lai7-ki,pak-lāi-ki,pak-lai7-ki,腹內肌,腹內肌,骨骼肌,匿名,pak-lai-ki,pak-lai-ki
2241,ta̍uh-ta̍uh-á lâi,tauh8-tauh8-a2 lai5,ta̍uh-ta̍uh-á lâi,tauh8-tauh8-a2 lai5,沓沓仔來,沓沓仔來,慢慢來,匿名,tauh-tauh-a lai,tauh-tauh-a lai
2242,chhòng-khang-kiû,chhong3-khang-kiu5,tshòng-khang-kiû,tshong3-khang-kiu5,創空球,創空球,烏龍球,匿名,chhong-khang-kiu,tshong-khang-kiu
2243,chhit-thô͘-kha,chhit-thoo5-kha,tshit-thôo-kha,tshit-thoo5-kha,拭塗跤,拭塗跤,擦地板,匿名,chhit-tho-kha,tshit-thoo-kha
2244,soat-hî-phang-si,soat-hi5-phang-si,suat-hî-phang-si,suat-hi5-phang-si,鱈魚芳絲,鱈魚芳絲,鱈魚香絲,匿名,soat-hi-phang-si,suat-hi-phang-si
2245,khêng-á,kheng5-a2,khîng-á,khing5-a2,虹仔,虹仔,烏桕,Tan Engjiu,kheng-a,khing-a
2246,lāi-hio̍h,lai7-hioh8,lāi-hio̍h,lai7-hioh8,鶆鴞,鶆鴞,老鷹,錒寶廖,lai-hioh,lai-hioh
2247,goán/gún ē-hiáu liām,goan2/gun2 e7-hiau2 liam7,guán/gún ē-hiáu liām,guan2/gun2 e7-hiau2 liam7,阮會曉唸,阮會曉唸,我會念,匿名,goan/gun e-hiau liam,guan/gun e-hiau liam
2248,siáu-kū/kī-tàn,siau2-ku7/ki7-tan3,siáu-kū/kī-tàn,siau2-ku7/ki7-tan3,小巨蛋,小巨蛋,小巨蛋,匿名,siau-ku/ki-tan,siau-ku/ki-tan
2249,tāi sò͘-kì/kù,tai7 soo3-ki3/ku3,tāi sòo-kì/kù,tai7 soo3-ki3/ku3,大數據,大數據,大數據,匿名,tai so-ki/ku,tai soo-ki/ku
2250,pit-chhú/chhí,pit-chhu2/chhi2,pit-tshú/tshí,pit-tshu2/tshi2,筆鼠,筆鼠,天竺鼠,匿名,pit-chhu/chhi,pit-tshu/tshi
2251,chhoe-kiáu,chhoe-kiau2,tshue-kiáu,tshue-kiau2,炊餃,炊餃,蒸餃,匿名,chhoe-kiau,tshue-kiau
2252,bô-ba̍k-chí,bo5-bak8-chi2,bô-ba̍k-tsí,bo5-bak8-tsi2,無目子,無目子,無患子,匿名,bo-bak-chi,bo-bak-tsi
2253,so-ba̍k-chí,so-bak8-chi2,so-ba̍k-tsí,so-bak8-tsi2,挲目子,挲目子,無患子,匿名,so-bak-chi,so-bak-tsi
2254,ji̍t-têng-pió,jit8-teng5-pio2,ji̍t-tîng-pió,jit8-ting5-pio2,日程表,日程表,行程表,匿名,jit-teng-pio,jit-ting-pio
2255,pē-bú iōng-sim lâi chai-pôe,pe7-bu2 iong7-sim lai5 chai-poe5,pē-bú iōng-sim lâi tsai-puê,pe7-bu2 iong7-sim lai5 tsai-pue5,父母用心來栽培,父母用心來栽培,父母用心栽培,匿名,pe-bu iong-sim lai chai-poe,pe-bu iong-sim lai tsai-pue
2256,ì-tiong-jîn,i3-tiong-jin5,ì-tiong-jîn,i3-tiong-jin5,意中人,意中人,心上人,林秉賢,i-tiong-jin,i-tiong-jin
2257,sio siám-kòe,sio siam2-koe3,sio siám-kuè,sio siam2-kue3,相閃過,相閃過,錯過,林秉賢,sio siam-koe,sio siam-kue
2258,tāu-koaⁿ-chhù,tau7-koann-chhu3,tāu-kuann-tshù,tau7-kuann-tshu3,豆干厝,豆干厝,妓院,匿名,tau-koa-chhu,tau-kuann-tshu
2259,tòng-thâu,tong3-thau5,tòng-thâu,tong3-thau5,擋頭,擋頭,體力,匿名,tong-thau,tong-thau
2260,bo̍k-tiûⁿ-bu̍t-gú/gí,bok8-tiunn5-but8-gu2/gi2,bo̍k-tiûnn-bu̍t-gú/gí,bok8-tiunn5-but8-gu2/gi2,牧場物語,牧場物語,牧場物語,匿名,bok-tiu-but-gu/gi,bok-tiunn-but-gu/gi
2261,sim-kông-hóe-to̍h,sim-kong5-hoe2-toh8,sim-kông-hué-to̍h,sim-kong5-hue2-toh8,心狂火著,心狂火著,心如鹿撞,匿名,sim-kong-hoe-toh,sim-kong-hue-toh
2262,khiām,khiam7,khiām,khiam7,儉,儉,勤儉,匿名,khiam,khiam
2263,liâu-khoe/khe,liau5-khoe/khe,liâu-khue/khe,liau5-khue/khe,潦溪,潦溪,溯溪,匿名,liau-khoe/khe,liau-khue/khe
2264,bān chi̍t kha-pō͘,ban7 chit8 kha-poo7,bān tsi̍t kha-pōo,ban7 tsit8 kha-poo7,慢一跤步,慢一跤步,錯過,匿名,ban chit kha-po,ban tsit kha-poo
2265,lam-á-khóng-chhia,lam-a2-khong2-chhia,lam-á-khóng-tshia,lam-a2-khong2-tshia,lam-á-khóng車,lam-á-khóng車,水泥車,匿名,lam-a-khong-chhia,lam-a-khong-tshia
2266,khai-koan chhiat-á,khai-koan chhiat-a2,khai-kuan tshiat-á,khai-kuan tshiat-a2,開關切仔,開關切仔,按鈕,匿名,khai-koan chhiat-a,khai-kuan tshiat-a
2267,sin-thé kok-iūⁿ,sin-the2 kok-iunn7,sin-thé kok-iūnn,sin-the2 kok-iunn7,身體各樣,身體各樣,身心障礙,匿名,sin-the kok-iu,sin-the kok-iunn
2268,tē-thâu chheⁿ/chhiⁿ-so͘,te7-thau5 chhenn/chhinn-soo,tē-thâu tshenn/tshinn-soo,te7-thau5 tshenn/tshinn-soo,地頭生疏,地頭生疏,人生地不熟,匿名,te-thau chhe/chhi-so,te-thau tshenn/tshinn-soo
2269,sim-koaⁿ hó,sim-koann ho2,sim-kuann hó,sim-kuann ho2,心肝好,心肝好,心地善良,匿名,sim-koa ho,sim-kuann ho
2270,khí--lih,khi2--lih,khí--lih,khi2--lih,去--lih,去--lih,上去,匿名,khi--lih,khi--lih
2271,sái-sèng-tē,sai2-seng3-te7,sái-sìng-tē,sai2-sing3-te7,使性地,使性地,任性,匿名,sai-seng-te,sai-sing-te
2272,liâm-le̍k-á,liam5-lek8-a2,liâm-li̍k-á,liam5-lik8-a2,鐮歷仔,鐮歷仔,鐮刀,匿名,liam-lek-a,liam-lik-a
2273,liān-kong-pâng,lian7-kong-pang5,liān-kong-pâng,lian7-kong-pang5,練功房,練功房,健身房,匿名,lian-kong-pang,lian-kong-pang
2274,phiàn-chih,phian3-chih,phiàn-tsih,phian3-tsih,phiàn-chih,phiàn-tsih,老虎鉗,匿名,phian-chih,phian-tsih
2275,kha-tá-lok-guh,kha-ta2-lok-guh,kha-tá-lok-guh,kha-ta2-lok-guh,kha-tá-lok-guh,kha-tá-lok-guh,商品目錄,匿名,kha-ta-lok-guh,kha-ta-lok-guh
2276,soaⁿ-tek,soann-tek,suann-tik,suann-tik,山竹,山竹,山竹,匿名,soa-tek,suann-tik
2277,Siâm-lô,Siam5-lo5,Siâm-lô,Siam5-lo5,暹羅,暹羅,泰國,匿名,Siam-lo,Siam-lo
2278,kéng-jiông-á-hoe,keng2-jiong5-a2-hoe,kíng-jiông-á-hue,king2-jiong5-a2-hue,襉絨仔花,襉絨仔花,康乃馨,葉阿里,keng-jiong-a-hoe,king-jiong-a-hue
2279,bô chún-sǹg,bo5 chun2-sng3,bô tsún-sǹg,bo5 tsun2-sng3,無準算,無準算,不算,匿名,bo chun-sng,bo tsun-sng
2280,phāiⁿ-á,phainn7-a2,phāinn-á,phainn7-a2,揹仔,揹仔,後背包,匿名,phai-a,phainn-a
2281,hông-kin àng-á,hong5-kin ang3-a2,hông-kin àng-á,hong5-kin ang3-a2,黃巾甕仔,黃巾甕仔,骨灰罈,Lîm Tshong-bîng,hong-kin ang-a,hong-kin ang-a
2282,chhit-thô/thit-thô siat-si,chhit-tho5/thit-tho5 siat-si,tshit-thô/thit-thô siat-si,tshit-tho5/thit-tho5 siat-si,𨑨迌設施,𨑨迌設施,遊樂設施,匿名,chhit-tho/thit-tho siat-si,tshit-tho/thit-tho siat-si
2283,"Thiⁿ-tē îⁿ-lin-lin, chhoàn gō sī tan-sin.","Thinn-te7 inn5-lin-lin, chhoan3 go7 si7 tan-sin.","Thinn-tē înn-lin-lin, tshuàn gō sī tan-sin.","Thinn-te7 inn5-lin-lin, tshuan3 go7 si7 tan-sin.",天地圓lin-lin，串餓是單身。,天地圓lin-lin，串餓是單身。,天地圓,匿名,"Thi-te i-lin-lin, chhoan go si tan-sin.","Thinn-te inn-lin-lin, tshuan go si tan-sin."
2284,lâm-iûⁿ/iôⁿ tāi-á,lam5-iunn5/ionn5 tai7-a2,lâm-iûnn/iônn tāi-á,lam5-iunn5/ionn5 tai7-a2,南洋𩸙仔,南洋𩸙仔,吳郭魚,匿名,lam-iu/io tai-a,lam-iunn/ionn tai-a
2285,lâm-iûⁿ/iôⁿ-á,lam5-iunn5/ionn5-a2,lâm-iûnn/iônn-á,lam5-iunn5/ionn5-a2,南洋仔,南洋仔,吳郭魚,匿名,lam-iu/io-a,lam-iunn/ionn-a
2286,phah-thoat-sin,phah-thoat-sin,phah-thuat-sin,phah-thuat-sin,拍脫身,拍脫身,墮胎,匿名,phah-thoat-sin,phah-thuat-sin
2287,pá-lâu,pa2-lau5,pá-lâu,pa2-lau5,飽流,飽流,漲潮,一毛蔡,pa-lau,pa-lau
2288,sûi-ē-pe̍h,sui5-e7-peh8,suî-ē-pe̍h,sui5-e7-peh8,隨會白,隨會白,立可白,匿名,sui-e-peh,sui-e-peh
2289,chúi-chhit-á,chui2-chhit-a2,tsuí-tshit-á,tsui2-tshit-a2,水拭仔,水拭仔,立可白,匿名,chui-chhit-a,tsui-tshit-a
2290,khòng-han-chî/chû,khong3-han-chi5/chu5,khòng-han-tsî/tsû,khong3-han-tsi5/tsu5,炕番薯,炕番薯,烤番薯,匿名,khong-han-chi/chu,khong-han-tsi/tsu
2291,pò niáu-chhí/chhú-á-oan,po3 niau2-chhi2/chhu2-a2-oan,pò niáu-tshí/tshú-á-uan,po3 niau2-tshi2/tshu2-a2-uan,報鳥鼠冤,報鳥鼠冤,以牙還牙,匿名,po niau-chhi/chhu-a-oan,po niau-tshi/tshu-a-uan
2292,jia̍t-káu,jiat8-kau2,jia̍t-káu,jiat8-kau2,熱狗,熱狗,熱狗,匿名,jiat-kau,jiat-kau
2293,joa̍h-káu,joah8-kau2,jua̍h-káu,juah8-kau2,熱狗,熱狗,熱狗,匿名,joah-kau,juah-kau
2294,tn̄g-kut-jia̍t,tng7-kut-jiat8,tn̄g-kut-jia̍t,tng7-kut-jiat8,斷骨熱,斷骨熱,登革熱,匿名,tn̄g-kut-jiat,tn̄g-kut-jiat
2295,chhit-á-kô͘,chhit-a2-koo5,tshit-á-kôo,tshit-a2-koo5,拭仔糊,拭仔糊,立可白,匿名,chhit-a-ko,tshit-a-koo
2296,iûⁿ-kak-tāu,iunn5-kak-tau7,iûnn-kak-tāu,iunn5-kak-tau7,羊角豆,羊角豆,秋葵,匿名,iu-kak-tau,iunn-kak-tau
2297,Gân-tì,Gan5-ti3,Gân-tì,Gan5-ti3,顏智,顏智,甘地,Hsing-Liang Ku,Gan-ti,Gan-ti
2298,an-thò,an-tho3,an-thò,an-tho3,安套,安套,保險套,匿名,an-tho,an-tho
2299,an-thò-á,an-tho3-a2,an-thò-á,an-tho3-a2,安套仔,安套仔,保險套,匿名,an-tho-a,an-tho-a
2300,ài--bô,ai3--bo5,ài--bô,ai3--bo5,愛--無,愛--無,要不要,匿名,ai--bo,ai--bo
2301,kiong-chhong,kiong-chhong,kiong-tshong,kiong-tshong,穹蒼,穹蒼,穹蒼,Justin Richard Leung,kiong-chhong,kiong-tshong
