id,poj_unicode,poj_input,kip_unicode,kip_input,hanlo_taibun_poj,hanlo_taibun_kip,hoabun,english,poochhiong_chuliau,muithe_miachheng,hongsang_jitki,liankiat,poj_normalized,kip_normalized
1229,chhiū-chòng,chhiu7-chong3,tshiū-tsòng,tshiu7-tsong3,樹葬,樹葬,樹葬,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,chhiu-chong,tshiu-tsong
1230,hoe-chòng,hoe-chong3,hue-tsòng,hue-tsong3,花葬,花葬,花葬,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,hoe-chong,hue-tsong
1231,hai-chòng,hai-chong3,hai-tsòng,hai-tsong3,海葬,海葬,海葬,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,hai-chong,hai-tsong
1232,iā-chòng,ia7-chong3,iā-tsòng,ia7-tsong3,掖葬,掖葬,灑葬,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,ia-chong,ia-tsong
1233,lán-lâng,lan2-lang5,lán-lâng,lan2-lang5,咱人,咱人,農曆,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,lan-lang,lan-lang
1234,bóe-chām,boe2-cham7,bué-tsām,bue2-tsam7,尾站,尾站,最後一站,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,boe-cham,bue-tsam
1235,bé-chām,be2-cham7,bé-tsām,be2-tsam7,尾站,尾站,最後一站,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,be-cham,be-tsam
1236,bōng-khòng,bong7-khong3,bōng-khòng,bong7-khong3,墓壙,墓壙,裝棺材的墓穴,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,bong-khong,bong-khong
1237,hóe-hòa,hoe2-hoa3,hué-huà,hue2-hua3,火化,火化,火化,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,hoe-hoa,hue-hua
1238,hé-hòa,he2-hoa3,hé-huà,he2-hua3,火化,火化,火化,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,he-hoa,he-hua
1239,hóe hoa,hoe2 hoa,hué hua,hue2 hua,火化,火化,火熄,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,hoe hoa,hue hua
1240,hé hoa,he2 hoa,hé hua,he2 hua,火化,火化,火熄,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,he hoa,he hua
1241,kut-hu,kut-hu,kut-hu,kut-hu,骨烌,骨烌,骨灰,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,kut-hu,kut-hu
1242,hông-kim-àng-á,hong5-kim-ang3-a2,hông-kim-àng-á,hong5-kim-ang3-a2,黃金甕仔,黃金甕仔,骨灰罈,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,hong-kim-ang-a,hong-kim-ang-a
1243,tâi,tai5,tâi,tai5,埋,埋,埋,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,tai,tai
1244,bâi-chòng,bai5-chong3,bâi-tsòng,bai5-tsong3,埋葬,埋葬,埋葬,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,bai-chong,bai-tsong
1245,lí mài kap gpá tèⁿ-chheⁿ/tìⁿ-chhiⁿ,li2 mai3 kap gpa2 tenn3-chhenn/tinn3-chhinn,lí mài kap gpá tènn-tshenn/tìnn-tshinn,li2 mai3 kap gpa2 tenn3-tshenn/tinn3-tshinn,你莫佮我佯生,你莫佮我佯生,,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,li mai kap gpa te-chhe/ti-chhi,li mai kap gpa tenn-tshenn/tinn-tshinn
1246,"koan-bo̍k, khoe-hâi/khe-hâi, kha-pō͘, chhiú-lō͘","koan-bok8, khoe-hai5/khe-hai5, kha-poo7, chhiu2-loo7","kuan-bo̍k, khue-hâi/khe-hâi, kha-pōo, tshiú-lōo","kuan-bok8, khue-hai5/khe-hai5, kha-poo7, tshiu2-loo7",觀目、詼諧、跤步、手路,觀目、詼諧、跤步、手路,,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,"koan-bok, khoe-hai/khe-hai, kha-po, chhiu-lo","kuan-bok, khue-hai/khe-hai, kha-poo, tshiu-loo"
1247,Chi̍t-ē sit-kak-chhat tō chún-pī khì chò/chòe hái-lêng-ông/hái-liông-ông ê kiáⁿ-sài,Chit8-e7 sit-kak-chhat to7 chun2-pi7 khi3 cho3/choe3 hai2-leng5-ong5/hai2-liong5-ong5 e5 kiann2-sai3,Tsi̍t-ē sit-kak-tshat tō tsún-pī khì tsò/tsuè hái-lîng-ông/hái-liông-ông ê kiánn-sài,Tsit8-e7 sit-kak-tshat to7 tsun2-pi7 khi3 tso3/tsue3 hai2-ling5-ong5/hai2-liong5-ong5 e5 kiann2-sai3,一下失覺察就準備去做海龍王ê囝婿,一下失覺察就準備去做海龍王ê囝婿,,,,【民視台灣學堂】台語講世事,2018.08.30,https://youtu.be/Tm6j7xQVIMA,Chit-e sit-kak-chhat to chun-pi khi cho/choe hai-leng-ong/hai-liong-ong e kia-sai,Tsit-e sit-kak-tshat to tsun-pi khi tso/tsue hai-ling-ong/hai-liong-ong e kiann-sai
1248,chi̍t-ê-chi̍t-ê,chit8-e5-chit8-e5,tsi̍t-ê-tsi̍t-ê,tsit8-e5-tsit8-e5,一个一个,一个一个,一個個,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,chit-e-chit-e,tsit-e-tsit-e
1249,kiông-chè,kiong5-che3,kiông-tsè,kiong5-tse3,強制,強制,硬性,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,kiong-che,kiong-tse
1250,àⁿ-thâu-cho̍k,ann3-thau5-chok8,ànn-thâu-tso̍k,ann3-thau5-tsok8,向頭族,向頭族,低頭族,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,a-thau-chok,ann-thau-tsok
1251,tông-chhong,tong5-chhong,tông-tshong,tong5-tshong,同窗,同窗,同儕,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,tong-chhong,tong-tshong
1252,khîⁿ tiâu-tiâu,khinn5 tiau5-tiau5,khînn tiâu-tiâu,khinn5 tiau5-tiau5,拑牢牢,拑牢牢,抓著不放/愛不釋手,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,khi tiau-tiau,khinn tiau-tiau
1253,"Ē kho͘ -ke/kho͘-koe, bē pûn-hóe/pûn-hé","E7 khoo -ke/khoo-koe, be7 pun5-hoe2/pun5-he2","Ē khoo -ke/khoo-kue, bē pûn-hué/pûn-hé","E7 khoo -ke/khoo-kue, be7 pun5-hue2/pun5-he2",會箍雞，袂歕火,會箍雞，袂歕火,,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,"E kho -ke/kho-koe, be pun-hoe/pun-he","E khoo -ke/khoo-kue, be pun-hue/pun-he"
1254,Tú-hó tō hó,Tu2-ho2 to7 ho2,Tú-hó tō hó,Tu2-ho2 to7 ho2,拄好就好,拄好就好,,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,Tu-ho to ho,Tu-ho to ho
1255,chi̍t-ê-chi̍t-ê pâi-tūi,chit8-e5-chit8-e5 pai5-tui7,tsi̍t-ê-tsi̍t-ê pâi-tuī,tsit8-e5-tsit8-e5 pai5-tui7,一个一个排隊,一个一个排隊,一個個排隊,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,chit-e-chit-e pai-tui,tsit-e-tsit-e pai-tui
1256,Chhun ê sîn-kan bô kiông-chè kui-tēng,Chhun e5 sin5-kan bo5 kiong5-che3 kui-teng7,Tshun ê sîn-kan bô kiông-tsè kui-tīng,Tshun e5 sin5-kan bo5 kiong5-tse3 kui-ting7,賰ê時間無強制規定,賰ê時間無強制規定,其餘時間並沒有硬性規定,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,Chhun e sin-kan bo kiong-che kui-teng,Tshun e sin-kan bo kiong-tse kui-ting
1257,Lí lóng it-ti̍t leh póe/hôe/chhu/chhū chhiú-ki-á,Li2 long2 it-tit8 leh poe2/hoe5/chhu/chhu7 chhiu2-ki-a2,Lí lóng it-ti̍t leh pué/huê/tshu/tshū tshiú-ki-á,Li2 long2 it-tit8 leh pue2/hue5/tshu/tshu7 tshiu2-ki-a2,你攏一直咧póe/hôe/chhu/chhū手機仔,你攏一直咧pué/huê/tshu/tshū手機仔,你都一直在滑手機,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,Li long it-tit leh poe/hoe/chhu/chhu chhiu-ki-a,Li long it-tit leh pue/hue/tshu/tshu tshiu-ki-a
1258,hôe chhiú-ki-á,hoe5 chhiu2-ki-a2,huê tshiú-ki-á,hue5 tshiu2-ki-a2,hôe手機仔,huê手機仔,滑手機,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,hoe chhiu-ki-a,hue tshiu-ki-a
1259,Kàu-io̍k-pō͘ nā ti̍t-chiap tēng bô-chhiú-ki-ji̍t bô siáⁿ hó-sè.,Kau3-iok8-poo7 na7 tit8-chiap teng7 bo5-chhiu2-ki-jit8 bo5 siann2 ho2-se3.,Kàu-io̍k-pōo nā ti̍t-tsiap tīng bô-tshiú-ki-ji̍t bô siánn hó-sè.,Kau3-iok8-poo7 na7 tit8-tsiap ting7 bo5-tshiu2-ki-jit8 bo5 siann2 ho2-se3.,教育部若直接訂無手機日無啥好勢,教育部若直接訂無手機日無啥好勢,不適合申教育部直接訂定無手機日,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,Kau-iok-po na tit-chiap teng bo-chhiu-ki-jit bo sia ho-se.,Kau-iok-poo na tit-tsiap ting bo-tshiu-ki-jit bo siann ho-se.
1260,beh hō͘ ha̍k-seng chah chhiú-ki-á khì ha̍k-hāu--bô,beh hoo7 hak8-seng chah chhiu2-ki-a2 khi3 hak8-hau7--bo5,beh hōo ha̍k-sing tsah tshiú-ki-á khì ha̍k-hāu--bô,beh hoo7 hak8-sing tsah tshiu2-ki-a2 khi3 hak8-hau7--bo5,欲予學生紮手機仔去學校--無,欲予學生紮手機仔去學校--無,學生要不要帶手機上學,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,beh ho hak-seng chah chhiu-ki-a khi hak-hau--bo,beh hoo hak-sing tsah tshiu-ki-a khi hak-hau--bo
1261,chu-chhek-hōe,chu-chhek-hoe7,tsu-tshik-huē,tsu-tshik-hue7,資策會,資策會,資策會,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,chu-chhek-hoe,tsu-tshik-hue
1262,i-lāi-chèng,i-lai7-cheng3,i-lāi-tsìng,i-lai7-tsing3,依賴症,依賴症,依賴症,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,i-lai-cheng,i-lai-tsing
1263,póe-chhiú-ki-á,poe2-chhiu2-ki-a2,pué-tshiú-ki-á,pue2-tshiu2-ki-a2,掰手機仔,掰手機仔,滑手機,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,poe-chhiu-ki-a,pue-tshiu-ki-a
1264,hôe-chhiú-ki-á,hoe5-chhiu2-ki-a2,huê-tshiú-ki-á,hue5-tshiu2-ki-a2,hôe手機仔,huê手機仔,滑手機,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,hoe-chhiu-ki-a,hue-tshiu-ki-a
1265,thuh-chhiú-ki-á,thuh-chhiu2-ki-a2,thuh-tshiú-ki-á,thuh-tshiu2-ki-a2,thuh手機仔,thuh手機仔,滑手機,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,thuh-chhiu-ki-a,thuh-tshiu-ki-a
1266,chū-ngó͘-khòng-chè,chu7-ngoo2-khong3-che3,tsū-ngóo-khòng-tsè,tsu7-ngoo2-khong3-tse3,自我控制,自我控制,自我控制,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,chu-ngo-khong-che,tsu-ngoo-khong-tse
1267,chhiò-khoe,chhio3-khoe,tshiò-khue,tshio3-khue,笑詼,笑詼,笑話,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,chhio-khoe,tshio-khue
1268,chhiò-khe,chhio3-khe,tshiò-khe,tshio3-khe,笑詼,笑詼,笑話,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,chhio-khe,tshio-khe
1269,i-nāi,i-nai7,i-nāi,i-nai7,依賴,依賴,依賴,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,i-nai,i-nai
1270,bû-lōa,bu5-loa7,bû-luā,bu5-lua7,誣賴,誣賴,誣賴,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,bu-loa,bu-lua
1271,thai-soán,thai-soan2,thai-suán,thai-suan2,篩選,篩選,篩選,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,thai-soan,thai-suan
1272,io̍k-bōng,iok8-bong7,io̍k-bōng,iok8-bong7,慾望,慾望,慾望,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,iok-bong,iok-bong
1273,beh,beh,beh,beh,欲,欲,要,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,beh,beh
1274,chù-sîn,chu3-sin5,tsù-sîn,tsu3-sin5,注神,注神,專心一意,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,chu-sin,tsu-sin
1275,bu̍t-siu,but8-siu,bu̍t-siu,but8-siu,沒收,沒收,沒收,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,but-siu,but-siu
1276,Chhiú án-ne péng-péng,Chhiu2 an2-ne peng2-peng2,Tshiú án-ne píng-píng,Tshiu2 an2-ne ping2-ping2,手按呢反反,手按呢反反,,,,【民視台灣學堂】台語講世事,2018.09.06,https://youtu.be/6fT_2rwwrGk,Chhiu an-ne peng-peng,Tshiu an-ne ping-ping
1277,bô-êng-chhih-chhah,bo5-eng5-chhih-chhah,bô-îng-tshih-tshah,bo5-ing5-tshih-tshah,無閒chhih-chhah,無閒tshih-tshah,七手八腳,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,bo-eng-chhih-chhah,bo-ing-tshih-tshah
1278,phû-chúi-bī,phu5-chui2-bi7,phû-tsuí-bī,phu5-tsui2-bi7,浮水沬,浮水沬,浮潛,,相關詞：phû-siû(浮泅),【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,phu-chui-bi,phu-tsui-bi
1279,ko͘ -á,koo -a2,koo -á,koo -a2,罟仔,罟仔,漁網,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,ko -a,koo -a
1280,sok-ka-iù-á,sok-ka-iu3-a2,sok-ka-iù-á,sok-ka-iu3-a2,塑膠幼仔,塑膠幼仔,塑膠微粒,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,sok-ka-iu-a,sok-ka-iu-a
1281,sé-e̍k-ko,se2-ek8-ko,sé-i̍k-ko,se2-ik8-ko,洗浴膏,洗浴膏,淋浴乳,,相關詞：sé-e̍k-leng(洗浴乳),【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,se-ek-ko,se-ik-ko
1282,bôa-soa-ko,boa5-soa-ko,buâ-sua-ko,bua5-sua-ko,磨砂膏,磨砂膏,磨砂膏,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,boa-soa-ko,bua-sua-ko
1283,ho͘ -lú-bóng,hoo -lu2-bong2,hoo -lú-bóng,hoo -lu2-bong2,ho͘ -lú-bóng,hoo -lú-bóng,賀爾蒙,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,ho -lu-bong,hoo -lu-bong
1284,si̍t-bu̍t-liān,sit8-but8-lian7,si̍t-bu̍t-liān,sit8-but8-lian7,食物鍊,食物鍊,食物鍊,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,sit-but-lian,sit-but-lian
1285,nńg-chu-á,nng2-chu-a2,nńg-tsu-á,nng2-tsu-a2,軟珠仔,軟珠仔,柔珠,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,nng-chu-a,nng-tsu-a
1286,teng-bán,teng-ban2,ting-bán,ting-ban2,釘挽,釘挽,旗魚,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,teng-ban,ting-ban
1287,pho-lí-lóng,pho-li2-long2,pho-lí-lóng,pho-li2-long2,pho-lí-lóng,pho-lí-lóng,保麗龍,,相關詞：chhó(草),【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,pho-li-long,pho-li-long
1288,chia̍h soàn-thâu thò͘  lō͘ -giō,chiah8 soan3-thau5 thoo3  loo7 -gio7,tsia̍h suàn-thâu thòo  lōo -giō,tsiah8 suan3-thau5 thoo3  loo7 -gio7,食蒜頭吐路蒿,食蒜頭吐路蒿,因小失大,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,chiah soan-thau tho  lo -gio,tsiah suan-thau thoo  loo -gio
1289,hīⁿ-khang iah hō͘  chheng-khì,hinn7-khang iah hoo7  chheng-khi3,hīnn-khang iah hōo  tshing-khì,hinn7-khang iah hoo7  tshing-khi3,耳空搤予清氣,耳空搤予清氣,,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,hi-khang iah ho  chheng-khi,hinn-khang iah hoo  tshing-khi
1290,chhiò-khoe/chhiò-khe kah poa̍h-poa̍h--tó--ah,chhio3-khoe/chhio3-khe kah poah8-poah8--to2--ah,tshiò-khue/tshiò-khe kah pua̍h-pua̍h--tó--ah,tshio3-khue/tshio3-khe kah puah8-puah8--to2--ah,笑詼甲跋跋倒矣,笑詼甲跋跋倒矣,,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,chhio-khoe/chhio-khe kah poah-poah--to--ah,tshio-khue/tshio-khe kah puah-puah--to--ah
1291,tàn tī thô͘ -kha lap,tan3 ti7 thoo5 -kha lap,tàn tī thôo -kha lap,tan3 ti7 thoo5 -kha lap,擲佇塗腳lap,擲佇塗腳lap,,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,tan ti tho -kha lap,tan ti thoo -kha lap
1292,Ta̍k-ke chhàng-chúi-bī tī hái-té bô-êng-chhih-chhah leh khioh mi̍h-kiāⁿ.,Tak8-ke chhang3-chui2-bi7 ti7 hai2-te2 bo5-eng5-chhih-chhah leh khioh mih8-kiann7.,Ta̍k-ke tshàng-tsuí-bī tī hái-té bô-îng-tshih-tshah leh khioh mi̍h-kiānn.,Tak8-ke tshang3-tsui2-bi7 ti7 hai2-te2 bo5-ing5-tshih-tshah leh khioh mih8-kiann7.,逐家藏水沬佇海底無閒chhih-chhah咧抾物件,逐家藏水沬佇海底無閒tshih-tshah咧抾物件,濳水客七手八腳在海底撿東西,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,Tak-ke chhang-chui-bi ti hai-te bo-eng-chhih-chhah leh khioh mih-kia.,Tak-ke tshang-tsui-bi ti hai-te bo-ing-tshih-tshah leh khioh mih-kiann.
1293,phû-siû,phu5-siu5,phû-siû,phu5-siu5,浮泅,浮泅,浮潛,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,phu-siu,phu-siu
1294,Chèng-lâng kut-la̍t kā pùn-sò sòa ji̍p-khì ko͘-á-lāi,Cheng3-lang5 kut-lat8 ka7 pun3-so3 soa3 jip8-khi3 koo-a2-lai7,Tsìng-lâng kut-la̍t kā pùn-sò suà ji̍p-khì koo-á-lāi,Tsing3-lang5 kut-lat8 ka7 pun3-so3 sua3 jip8-khi3 koo-a2-lai7,眾人骨力共pùn-sò掃入去罟仔內,眾人骨力共pùn-sò掃入去罟仔內,眾人賣力將垃坄掃入漁網袋中,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,Cheng-lang kut-lat ka pun-so soa jip-khi ko-a-lai,Tsing-lang kut-lat ka pun-so sua jip-khi koo-a-lai
1295,Hō͘ goán siūⁿ-beh thè hî-á ê khiā-ke piàⁿ-sàu,Hoo7 goan2 siunn7-beh the3 hi5-a2 e5 khia7-ke piann3-sau3,Hōo guán siūnn-beh thè hî-á ê khiā-ke piànn-sàu,Hoo7 guan2 siunn7-beh the3 hi5-a2 e5 khia7-ke piann3-sau3,予阮想欲替魚仔ê徛家摒掃,予阮想欲替魚仔ê徛家摒掃,引發我們想要幫魚打掃家的環境,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,Ho goan siu-beh the hi-a e khia-ke pia-sau,Hoo guan siunn-beh the hi-a e khia-ke piann-sau
1296,Chhàng-chúi-bī ê ke-si kui-su chhēng-hó-hó,Chhang3-chui2-bi7 e5 ke-si kui-su chheng7-ho2-ho2,Tshàng-tsuí-bī ê ke-si kui-su tshīng-hó-hó,Tshang3-tsui2-bi7 e5 ke-si kui-su tshing7-ho2-ho2,藏水沬ê家私規軀穿好好,藏水沬ê家私規軀穿好好,穿上全副的潛水裝備,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,Chhang-chui-bi e ke-si kui-su chheng-ho-ho,Tshang-tsui-bi e ke-si kui-su tshing-ho-ho
1297,hái-táⁿ,hai2-tann2,hái-tánn,hai2-tann2,海膽,海膽,海膽,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,hai-ta,hai-tann
1298,hái-sim,hai2-sim,hái-sim,hai2-sim,海參,海參,海參,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,hai-sim,hai-sim
1299,hái-som,hai2-som,hái-som,hai2-som,海參,海參,海參,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,hai-som,hai-som
1300,hái-sam,hai2-sam,hái-sam,hai2-sam,海參,海參,海參,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,hai-sam,hai-sam
1301,hái-chhiⁿ,hai2-chhinn,hái-tshinn,hai2-tshinn,海星,海星,海星,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,hai-chhi,hai-tshinn
1302,Kā seng-thài pó-io̍k kap hái-iûⁿ kàu-io̍k kap chò-hóe/chòe-hé,Ka7 seng-thai3 po2-iok8 kap hai2-iunn5 kau3-iok8 kap cho3-hoe2/choe3-he2,Kā sing-thài pó-io̍k kap hái-iûnn kàu-io̍k kap tsò-hué/tsuè-hé,Ka7 sing-thai3 po2-iok8 kap hai2-iunn5 kau3-iok8 kap tso3-hue2/tsue3-he2,共生態保育佮海洋教育敆做伙,共生態保育佮海洋教育敆做伙,結合生態保育與海洋教育,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,Ka seng-thai po-iok kap hai-iu kau-iok kap cho-hoe/choe-he,Ka sing-thai po-iok kap hai-iunn kau-iok kap tso-hue/tsue-he
1303,chia̍h-mi̍h,chiah8-mih8,tsia̍h-mi̍h,tsiah8-mih8,食物,食物,食物,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,chiah-mih,tsiah-mih
1304,si̍t-bu̍t,sit8-but8,si̍t-bu̍t,sit8-but8,食物,食物,食物,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,sit-but,sit-but
1305,lāi-hun-pì,lai7-hun-pi3,lāi-hun-pì,lai7-hun-pi3,內分泌,內分泌,內分泌,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,lai-hun-pi,lai-hun-pi
1306,chhǹg-á,chhng3-a2,tshǹg-á,tshng3-a2,串仔,串仔,鮪魚,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,chhng-a,tshng-a
1307,pho͘-lí-lóng,phoo-li2-long2,phoo-lí-lóng,phoo-li2-long2,pho͘-lí-lóng,phoo-lí-lóng,保麗龍,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,pho-li-long,phoo-li-long
1308,hái-ti,hai2-ti,hái-ti,hai2-ti,海豬,海豬,海豚,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,hai-ti,hai-ti
1309,hái-ang,hai2-ang,hái-ang,hai2-ang,海翁,海翁,鯨魚,,,【民視台灣學堂】台語講世事,2018.09.13,https://youtu.be/eV2qZBq-onQ,hai-ang,hai-ang
1310,ōng-chhiú,ong7-chhiu2,ōng-tshiú,ong7-tshiu2,旺手,旺手,運氣好,,,【民視台灣學堂】台語講世事,2018.09.20,https://youtu.be/9Mc4y-4Xkzc,ong-chhiu,ong-tshiu
1311,jī-ūn,ji7-un7,jī-ūn,ji7-un7,字運,字運,運氣,,,【民視台灣學堂】台語講世事,2018.09.20,https://youtu.be/9Mc4y-4Xkzc,ji-un,ji-un
1312,Cha-bó͘ -kiáⁿ kà niû-lé tńg-châi,Cha-boo2 -kiann2 ka3 niu5-le2 tng2-chai5,Tsa-bóo -kiánn kà niû-lé tńg-tsâi,Tsa-boo2 -kiann2 ka3 niu5-le2 tng2-tsai5,查某囝教娘嬭轉臍,查某囝教娘嬭轉臍,,,,【民視台灣學堂】台語講世事,2018.09.20,https://youtu.be/9Mc4y-4Xkzc,Cha-bo -kia ka niu-le tng-chai,Tsa-boo -kiann ka niu-le tng-tsai
1313,kau-pôe pôaⁿ-nóa,kau-poe5 poann5-noa2,kau-puê puânn-nuá,kau-pue5 puann5-nua2,交陪磐撋,交陪磐撋,交際應酬,,,【民視台灣學堂】台語講世事,2018.09.20,https://youtu.be/9Mc4y-4Xkzc,kau-poe poa-noa,kau-pue puann-nua
1314,Ba̍k-chiu peh kim chù-sîn khòaⁿ,Bak8-chiu peh kim chu3-sin5 khoann3,Ba̍k-tsiu peh kim tsù-sîn khuànn,Bak8-tsiu peh kim tsu3-sin5 khuann3,目睭peh金注神看,目睭peh金注神看,全神貫注緊盯,,,【民視台灣學堂】台語講世事,2018.09.20,https://youtu.be/9Mc4y-4Xkzc,Bak-chiu peh kim chu-sin khoa,Bak-tsiu peh kim tsu-sin khuann
